Survey,Year,Julian,Site,Block,Treatment,TotalHa,TBA,Richness,simp.ind,Simp1
7001,2007,149,Bass1,Basswood,10% prairie bottom,0.55,0,0,0,1
7002,2007,149,Bass2,Basswood,10% prairie strips,0.56,0,0,0,1
7003,2007,149,Bass3,Basswood,20% prairie strips,0.57,2,2,2,3
7004,2007,149,Bass4,Basswood,20% prairie strips,0.61,0,0,0,1
7005,2007,149,Bass5,Basswood,10% prairie strips,1.31,1,1,1,2
7006,2007,149,Bass6,Basswood,0% prairie,0.81,2,2,1,2
7007,2007,149,Int1,Interim,10% prairie strips,3.1,4,2,1.6,2.6
7008,2007,149,Int2,Interim,10% prairie bottom,3.24,7,3,2.333333333,3.333333333
7009,2007,149,Int3,Interim,0% prairie,0.61,6,4,3,4
7010,2007,149,Orb1,Orbweaver,10% prairie bottom,1.25,10,5,4.454545455,5.454545455
7011,2007,149,Orb2,Orbweaver,20% prairie strips,2.51,2,1,1,2
7012,2007,149,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
7013,2007,151,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
7014,2007,151,Bass2,Basswood,10% prairie strips,0.56,2,2,2,3
7015,2007,151,Bass3,Basswood,20% prairie strips,0.57,1,1,1,2
7016,2007,151,Bass4,Basswood,20% prairie strips,0.61,1,1,1,2
7017,2007,151,Bass5,Basswood,10% prairie strips,1.31,6,2,1.8,2.8
7018,2007,151,Bass6,Basswood,0% prairie,0.81,0,0,0,1
7019,2007,151,Int1,Interim,10% prairie strips,3.1,3,2,1.8,2.8
7020,2007,151,Int2,Interim,10% prairie bottom,3.24,5,3,2.272727273,3.272727273
7021,2007,151,Int3,Interim,0% prairie,0.61,0,0,0,1
7022,2007,151,Orb1,Orbweaver,10% prairie bottom,1.25,5,3,3,4
7023,2007,151,Orb2,Orbweaver,20% prairie strips,2.51,11,4,1.805970149,2.805970149
7024,2007,151,Orb3,Orbweaver,0% prairie,1.24,4,3,1.8,2.8
7025,2007,155,Bass1,Basswood,10% prairie bottom,0.55,2,2,2,3
7026,2007,155,Bass2,Basswood,10% prairie strips,0.56,4,2,1.6,2.6
7027,2007,155,Bass3,Basswood,20% prairie strips,0.57,5,3,2.272727273,3.272727273
7028,2007,155,Bass4,Basswood,20% prairie strips,0.61,2,2,2,3
7029,2007,155,Bass5,Basswood,10% prairie strips,1.31,3,1,1,2
7030,2007,155,Bass6,Basswood,0% prairie,0.81,0,0,0,1
7031,2007,155,Int1,Interim,10% prairie strips,3.1,5,4,3.571428571,4.571428571
7032,2007,155,Int2,Interim,10% prairie bottom,3.24,3,1,1,2
7033,2007,155,Int3,Interim,0% prairie,0.61,2,2,2,3
7034,2007,155,Orb1,Orbweaver,10% prairie bottom,1.25,1,1,1,2
7035,2007,155,Orb2,Orbweaver,20% prairie strips,2.51,1,1,1,2
7036,2007,155,Orb3,Orbweaver,0% prairie,1.24,0,0,0,1
7037,2007,156,Bass1,Basswood,10% prairie bottom,0.55,0,0,0,1
7038,2007,156,Bass2,Basswood,10% prairie strips,0.56,3,3,3,4
7039,2007,156,Bass3,Basswood,20% prairie strips,0.57,3,2,1.8,2.8
7040,2007,156,Bass4,Basswood,20% prairie strips,0.61,2,2,2,3
7041,2007,156,Bass5,Basswood,10% prairie strips,1.31,2,2,2,3
7042,2007,156,Bass6,Basswood,0% prairie,0.81,3,2,1.8,2.8
7043,2007,156,Int1,Interim,10% prairie strips,3.1,6,2,1.384615385,2.384615385
7044,2007,156,Int2,Interim,10% prairie bottom,3.24,4,3,2.666666667,3.666666667
7045,2007,156,Int3,Interim,0% prairie,0.61,1,1,1,2
7046,2007,156,Orb1,Orbweaver,10% prairie bottom,1.25,10,4,3.333333333,4.333333333
7047,2007,156,Orb2,Orbweaver,20% prairie strips,2.51,6,3,2.571428571,3.571428571
7048,2007,156,Orb3,Orbweaver,0% prairie,1.24,2,1,1,2
7049,2007,164,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
7050,2007,164,Bass2,Basswood,10% prairie strips,0.56,0,0,0,1
7051,2007,164,Bass3,Basswood,20% prairie strips,0.57,2,2,2,3
7052,2007,164,Bass4,Basswood,20% prairie strips,0.61,2,2,2,3
7053,2007,164,Bass5,Basswood,10% prairie strips,1.31,3,3,3,4
7055,2007,164,Int1,Interim,10% prairie strips,3.1,2,2,2,3
7056,2007,164,Int2,Interim,10% prairie bottom,3.24,4,2,2,3
7057,2007,164,Int3,Interim,0% prairie,0.61,2,2,2,3
7058,2007,164,Orb1,Orbweaver,10% prairie bottom,1.25,5,3,2.777777778,3.777777778
7059,2007,164,Orb2,Orbweaver,20% prairie strips,2.51,6,4,3.6,4.6
7060,2007,164,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
7061,2007,170,Bass1,Basswood,10% prairie bottom,0.55,0,0,0,1
7062,2007,170,Bass2,Basswood,10% prairie strips,0.56,2,1,1,2
7063,2007,170,Bass3,Basswood,20% prairie strips,0.57,2,1,1,2
7064,2007,170,Bass4,Basswood,20% prairie strips,0.61,5,4,3.571428571,4.571428571
7065,2007,170,Bass5,Basswood,10% prairie strips,1.31,7,3,2.578947368,3.578947368
7066,2007,170,Bass6,Basswood,0% prairie,0.81,3,2,1.8,2.8
7067,2007,170,Int1,Interim,10% prairie strips,3.1,5,2,1.470588235,2.470588235
7068,2007,170,Int2,Interim,10% prairie bottom,3.24,2,1,1,2
7069,2007,170,Int3,Interim,0% prairie,0.61,5,3,2.272727273,3.272727273
7070,2007,170,Orb1,Orbweaver,10% prairie bottom,1.25,4,2,1.8,2.8
7071,2007,170,Orb2,Orbweaver,20% prairie strips,2.51,13,2,1.352,2.352
7072,2007,170,Orb3,Orbweaver,0% prairie,1.24,2,2,2,3
7073,2007,171,Bass1,Basswood,10% prairie bottom,0.55,3,2,1.8,2.8
7074,2007,171,Bass2,Basswood,10% prairie strips,0.56,4,3,2.666666667,3.666666667
7075,2007,171,Bass3,Basswood,20% prairie strips,0.57,4,2,2,3
7076,2007,171,Bass4,Basswood,20% prairie strips,0.61,5,3,2.777777778,3.777777778
7077,2007,171,Bass5,Basswood,10% prairie strips,1.31,3,2,1.8,2.8
7078,2007,171,Bass6,Basswood,0% prairie,0.81,0,0,0,1
7079,2007,171,Int1,Interim,10% prairie strips,3.1,2,2,2,3
7080,2007,171,Int2,Interim,10% prairie bottom,3.24,4,3,2.666666667,3.666666667
7081,2007,171,Int3,Interim,0% prairie,0.61,2,1,1,2
7082,2007,171,Orb1,Orbweaver,10% prairie bottom,1.25,5,3,2.666666667,3.666666667
7083,2007,171,Orb2,Orbweaver,20% prairie strips,2.51,10,5,2.5,3.5
7084,2007,171,Orb3,Orbweaver,0% prairie,1.24,9,3,1.588235294,2.588235294
7085,2007,183,Bass1,Basswood,10% prairie bottom,0.55,1,1,1,2
7086,2007,183,Bass2,Basswood,10% prairie strips,0.56,2,1,1,2
7087,2007,183,Bass3,Basswood,20% prairie strips,0.57,3,1,1,2
7088,2007,183,Bass4,Basswood,20% prairie strips,0.61,2,1,1,2
7089,2007,183,Bass5,Basswood,10% prairie strips,1.31,3,2,1.8,2.8
7090,2007,183,Bass6,Basswood,0% prairie,0.81,2,1,1,2
